year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,2,99.98,10
2034,3,99.95,11
2035,3,99.92,12
2036,11,99.81,13
2037,21,99.60000000000001,14
2038,19,99.41,15
2039,27,99.14,16
2040,37,98.77,17
2041,50,98.27,18
2042,48,97.79,19
2043,61,97.18,20
2044,45,96.73,21
2045,45,96.28,22
2046,49,95.79,23
2047,69,95.10000000000001,24
2048,43,94.67,25
2049,53,94.14,26
2050,50,93.64,27
2051,47,93.17,28
2052,60,92.57000000000001,29
2053,46,92.11,30
2054,51,91.60000000000001,31
2055,40,91.2,32
2056,41,90.79,33
2057,33,90.46000000000001,34
2058,44,90.02,35
2059,33,89.69,36
2060,39,89.3,37
2061,36,88.94,38
2062,30,88.64,39
2063,35,88.29,40
2064,22,88.07000000000001,41
2065,35,87.72,42
2066,28,87.44,43
2067,28,87.16,44
2068,25,86.91,45
2069,22,86.69,46
2070,10,86.59,47
2071,18,86.41,48
2072,19,86.22,49
2073,14,86.08,50
