year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,2,99.98,10
2034,2,99.96000000000001,11
2035,4,99.92,12
2036,21,99.71000000000001,13
2037,20,99.51,14
2038,44,99.07000000000001,15
2039,38,98.69,16
2040,75,97.94,17
2041,74,97.2,18
2042,94,96.26,19
2043,80,95.46000000000001,20
2044,99,94.47,21
2045,113,93.34,22
2046,114,92.2,23
2047,106,91.14,24
2048,120,89.94,25
2049,131,88.63,26
2050,115,87.48,27
2051,124,86.24,28
2052,125,84.99,29
2053,89,84.10000000000001,30
2054,99,83.11,31
2055,107,82.04,32
2056,97,81.07000000000001,33
2057,97,80.10000000000001,34
2058,87,79.23,35
2059,90,78.33,36
2060,84,77.49,37
2061,85,76.64,38
2062,89,75.75,39
2063,76,74.99,40
2064,79,74.2,41
2065,57,73.63,42
2066,64,72.99,43
2067,70,72.29,44
2068,49,71.8,45
2069,56,71.24,46
2070,44,70.8,47
2071,51,70.29,48
2072,45,69.84,49
2073,43,69.41,50
