year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,0,100,10
2034,0,100,11
2035,0,100,12
2036,1,99.99000000000001,13
2037,1,99.98,14
2038,9,99.89,15
2039,9,99.8,16
2040,11,99.69,17
2041,15,99.54,18
2042,23,99.31,19
2043,29,99.02,20
2044,28,98.74000000000001,21
2045,36,98.38,22
2046,29,98.09,23
2047,41,97.68,24
2048,40,97.28,25
2049,36,96.92,26
2050,36,96.56,27
2051,59,95.97,28
2052,57,95.4,29
2053,53,94.87,30
2054,48,94.39,31
2055,60,93.79,32
2056,59,93.2,33
2057,46,92.74,34
2058,49,92.25,35
2059,44,91.81,36
2060,41,91.4,37
2061,47,90.93,38
2062,55,90.38,39
2063,46,89.92,40
2064,47,89.45,41
2065,41,89.04,42
2066,38,88.66,43
2067,50,88.16,44
2068,34,87.82000000000001,45
2069,33,87.49,46
2070,35,87.14,47
2071,35,86.79,48
2072,32,86.47,49
2073,37,86.10000000000001,50
