year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,3,99.97,8
2032,11,99.86,9
2033,34,99.52,10
2034,49,99.03,11
2035,93,98.10000000000001,12
2036,92,97.18,13
2037,140,95.78,14
2038,143,94.35000000000001,15
2039,139,92.96000000000001,16
2040,175,91.21000000000001,17
2041,172,89.49,18
2042,167,87.82000000000001,19
2043,184,85.98,20
2044,200,83.98,21
2045,177,82.21000000000001,22
2046,163,80.58,23
2047,142,79.16,24
2048,130,77.86,25
2049,155,76.31,26
2050,114,75.17,27
2051,140,73.77,28
2052,125,72.52,29
2053,105,71.47,30
2054,119,70.28,31
2055,112,69.16,32
2056,91,68.25,33
2057,71,67.54,34
2058,86,66.68,35
2059,67,66.01,36
2060,65,65.36,37
2061,80,64.56,38
2062,63,63.93,39
2063,62,63.31,40
2064,63,62.68,41
2065,54,62.14,42
2066,53,61.61,43
2067,52,61.09,44
2068,46,60.63,45
2069,42,60.21,46
2070,43,59.78,47
2071,38,59.4,48
2072,32,59.08,49
2073,35,58.730000000000004,50
