year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,0,100,10
2034,0,100,11
2035,1,99.99000000000001,12
2036,1,99.98,13
2037,9,99.89,14
2038,11,99.78,15
2039,17,99.61,16
2040,17,99.44,17
2041,23,99.21000000000001,18
2042,29,98.92,19
2043,36,98.56,20
2044,42,98.14,21
2045,37,97.77,22
2046,41,97.36,23
2047,46,96.9,24
2048,51,96.39,25
2049,42,95.97,26
2050,43,95.54,27
2051,44,95.10000000000001,28
2052,45,94.65,29
2053,35,94.3,30
2054,48,93.82000000000001,31
2055,37,93.45,32
2056,23,93.22,33
2057,41,92.81,34
2058,40,92.41,35
2059,36,92.05,36
2060,32,91.73,37
2061,24,91.49,38
2062,39,91.10000000000001,39
2063,43,90.67,40
2064,32,90.35000000000001,41
2065,24,90.11,42
2066,28,89.83,43
2067,25,89.58,44
2068,15,89.43,45
2069,18,89.25,46
2070,18,89.07000000000001,47
2071,23,88.84,48
2072,17,88.67,49
2073,13,88.54,50
