year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,0,100,10
2034,0,100,11
2035,0,100,12
2036,1,99.99000000000001,13
2037,2,99.97,14
2038,0,99.97,15
2039,1,99.96000000000001,16
2040,4,99.92,17
2041,5,99.87,18
2042,4,99.83,19
2043,6,99.77,20
2044,7,99.7,21
2045,7,99.63,22
2046,6,99.57000000000001,23
2047,9,99.48,24
2048,12,99.36,25
2049,18,99.18,26
2050,8,99.10000000000001,27
2051,13,98.97,28
2052,13,98.84,29
2053,12,98.72,30
2054,10,98.62,31
2055,14,98.48,32
2056,9,98.39,33
2057,11,98.28,34
2058,15,98.13,35
2059,16,97.97,36
2060,13,97.84,37
2061,11,97.73,38
2062,16,97.57000000000001,39
2063,6,97.51,40
2064,13,97.38,41
2065,12,97.26,42
2066,10,97.16,43
2067,13,97.03,44
2068,7,96.96000000000001,45
2069,8,96.88,46
2070,8,96.8,47
2071,10,96.7,48
2072,5,96.65,49
2073,6,96.59,50
