year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,0,100,10
2034,0,100,11
2035,3,97,12
2036,0,97,13
2037,0,97,14
2038,0,97,15
2039,0,97,16
2040,1,96,17
2041,3,93,18
2042,1,92,19
2043,1,91,20
2044,2,89,21
2045,0,89,22
2046,0,89,23
2047,2,87,24
2048,2,85,25
2049,1,84,26
2050,0,84,27
2051,2,82,28
2052,1,81,29
2053,0,81,30
2054,0,81,31
2055,0,81,32
2056,0,81,33
2057,1,80,34
2058,0,80,35
2059,1,79,36
2060,0,79,37
2061,2,77,38
2062,1,76,39
2063,0,76,40
2064,1,75,41
2065,1,74,42
2066,0,74,43
2067,0,74,44
2068,0,74,45
2069,2,72,46
2070,1,71,47
2071,1,70,48
2072,1,69,49
2073,0,69,50
