year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,1,99.99000000000001,8
2032,2,99.97,9
2033,13,99.84,10
2034,23,99.61,11
2035,43,99.18,12
2036,80,98.38,13
2037,102,97.36,14
2038,123,96.13,15
2039,156,94.57000000000001,16
2040,196,92.61,17
2041,181,90.8,18
2042,188,88.92,19
2043,214,86.78,20
2044,223,84.55,21
2045,200,82.55,22
2046,202,80.53,23
2047,226,78.27,24
2048,199,76.28,25
2049,169,74.59,26
2050,176,72.83,27
2051,156,71.27,28
2052,153,69.74,29
2053,137,68.37,30
2054,137,67,31
2055,132,65.68,32
2056,119,64.49,33
2057,104,63.45,34
2058,104,62.410000000000004,35
2059,94,61.47,36
2060,101,60.46,37
2061,91,59.550000000000004,38
2062,89,58.660000000000004,39
2063,81,57.85,40
2064,69,57.160000000000004,41
2065,66,56.5,42
2066,78,55.72,43
2067,46,55.26,44
2068,54,54.72,45
2069,52,54.2,46
2070,62,53.58,47
2071,53,53.050000000000004,48
2072,50,52.550000000000004,49
2073,39,52.160000000000004,50
