year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,2,99.98,8
2032,5,99.93,9
2033,4,99.89,10
2034,20,99.69,11
2035,27,99.42,12
2036,32,99.10000000000001,13
2037,56,98.54,14
2038,59,97.95,15
2039,79,97.16,16
2040,98,96.18,17
2041,81,95.37,18
2042,105,94.32000000000001,19
2043,102,93.3,20
2044,98,92.32000000000001,21
2045,92,91.4,22
2046,115,90.25,23
2047,89,89.36,24
2048,93,88.43,25
2049,88,87.55,26
2050,111,86.44,27
2051,87,85.57000000000001,28
2052,109,84.48,29
2053,83,83.65,30
2054,74,82.91,31
2055,86,82.05,32
2056,73,81.32000000000001,33
2057,74,80.58,34
2058,77,79.81,35
2059,67,79.14,36
2060,69,78.45,37
2061,58,77.87,38
2062,51,77.36,39
2063,56,76.8,40
2064,48,76.32000000000001,41
2065,38,75.94,42
2066,33,75.61,43
2067,52,75.09,44
2068,37,74.72,45
2069,46,74.26,46
2070,37,73.89,47
2071,28,73.61,48
2072,30,73.31,49
2073,23,73.08,50
