year,fails,success_prob,retirement_length
2023,0,100,0
2024,0,100,1
2025,0,100,2
2026,0,100,3
2027,0,100,4
2028,0,100,5
2029,0,100,6
2030,0,100,7
2031,0,100,8
2032,0,100,9
2033,1,99.99000000000001,10
2034,0,99.99000000000001,11
2035,5,99.94,12
2036,5,99.89,13
2037,12,99.77,14
2038,8,99.69,15
2039,18,99.51,16
2040,18,99.33,17
2041,37,98.96000000000001,18
2042,43,98.53,19
2043,37,98.16,20
2044,57,97.59,21
2045,48,97.11,22
2046,46,96.65,23
2047,60,96.05,24
2048,60,95.45,25
2049,52,94.93,26
2050,61,94.32000000000001,27
2051,53,93.79,28
2052,56,93.23,29
2053,55,92.68,30
2054,55,92.13,31
2055,56,91.57000000000001,32
2056,45,91.12,33
2057,36,90.76,34
2058,38,90.38,35
2059,38,90,36
2060,47,89.53,37
2061,50,89.03,38
2062,44,88.59,39
2063,38,88.21000000000001,40
2064,43,87.78,41
2065,33,87.45,42
2066,26,87.19,43
2067,29,86.9,44
2068,35,86.55,45
2069,33,86.22,46
2070,22,86,47
2071,35,85.65,48
2072,30,85.35000000000001,49
2073,21,85.14,50
